key;date;sessionKey;statsSessionId;licenceEstPremium;androidVersion;page;composantUI;cheminNavigation;nombreCmpsntUINonDstnctVisites;nombrePages;nbUiAidesOuverts;
-Lxl9EN4dmC2PbTg84Sz;4-1-2020 11:55:12;-Lxl9FghWArTR7zbbrSr;-Lxl9EN4dmC2PbTg84Sz;false;9;app.component;initApp;app.component;0;0;0
-LyDo6bJ24rxWqKoon4Y;10-1-2020 10:37:6;;-LyDo6bJ24rxWqKoon4Y;;;app.component;initApp;;;;
-LyDo8r9qp2yigcDb7C5;10-1-2020 10:37:15;;-LyDo6bJ24rxWqKoon4Y;;;TutorielPage;btnSuivant;;;;
-LyDo9HO7DfGRAnOTZJH;10-1-2020 10:37:16;;-LyDo6bJ24rxWqKoon4Y;;;TutorielPage;btnSuivant;;;;
-LyDoAqsDjWEIgHblRLD;10-1-2020 10:37:23;;-LyDo6bJ24rxWqKoon4Y;;;TutorielPage;btnFinirTuto;;;;
-LyDoI6lpy2ai5PlD8pG;10-1-2020 10:37:53;;-LyDo6bJ24rxWqKoon4Y;;;PrevisionsPage;btnMenu;;;;
-LyDoK4_N9O7q2ZvOX7f;10-1-2020 10:38:1;;-LyDo6bJ24rxWqKoon4Y;;;StationsFavoritesModal;btnFermer;;;;
-LyDoKh-N0yXmup1FIGC;10-1-2020 10:38:3;-LyDo6dDvWKEcOjt-_ol;-LyDo6bJ24rxWqKoon4Y;false;7.0;PrevisionsPage;btnGeoloc;app.component>TutorielPage>PrevisionsPage>StationsFavoritesModal>PrevisionsPage;6;4;0
-LyEGTlYBvUCrKeN2HrI;10-1-2020 12:45:50;;-LyEGTlYBvUCrKeN2HrI;;;app.component;initApp;;;;
-LyEGUkB-musQoRs9SXy;10-1-2020 12:45:54;;-LyEGTlYBvUCrKeN2HrI;;;TutorielPage;btnSuivant;;;;
-LyEGV-3Frr96y24VVjM;10-1-2020 12:45:55;;-LyEGTlYBvUCrKeN2HrI;;;TutorielPage;btnSuivant;;;;
-LyEGYfm273MI4mBQr0b;10-1-2020 12:46:10;;-LyEGTlYBvUCrKeN2HrI;;;TutorielPage;btnFinirTuto;;;;
-LyEGd5XvI3qyAbDLD35;10-1-2020 12:46:32;;-LyEGTlYBvUCrKeN2HrI;;;PrevisionsPage;btnGeoloc;;;;
-LyEGje70nR5W3d9hpGL;10-1-2020 12:46:59;;-LyEGTlYBvUCrKeN2HrI;;;PrevisionsPage;btnMenu;;;;
-LyEGuTgFosScjikOIoN;10-1-2020 12:47:43;;-LyEGTlYBvUCrKeN2HrI;;;SettingsPage;btnAcheter;;;;
-LyEGwNiXChM_wk2tRrO;10-1-2020 12:47:51;;-LyEGTlYBvUCrKeN2HrI;;;RestaureAchetePage;btnRetourPage;;;;
-LyEGxVYxVKW5vegCCEa;10-1-2020 12:47:55;;-LyEGTlYBvUCrKeN2HrI;;;SettingsPage;btnRestaurer;;;;
-LyEGzAv31-WOz2uwU6E;10-1-2020 12:48:2;;-LyEGTlYBvUCrKeN2HrI;;;RestaureAchetePage;btnRestaurer;;;;
-LyEH-sTKFFDYt8-urKZ;10-1-2020 12:48:9;;-LyEGTlYBvUCrKeN2HrI;;;RestaureAchetePage;btnRetourPage;;;;
-LyEH09pA9UTqVaG9Yxc;10-1-2020 12:48:10;;-LyEGTlYBvUCrKeN2HrI;;;SettingsPage;btnRetourPage;;;;
-LyEH3PmTYsrdpKhCVym;10-1-2020 12:48:24;;-LyEGTlYBvUCrKeN2HrI;;;SettingsPage;btnRetourPage;;;;
-LyEH3q0C8IGFHdT6CBL;10-1-2020 12:48:25;;-LyEGTlYBvUCrKeN2HrI;;;StationsFavoritesModal;btnFermer;;;;
-LyEH4LO1GXxl1Zzf-va;10-1-2020 12:48:28;;-LyEGTlYBvUCrKeN2HrI;;;PrevisionsPage;btnMenu;;;;
-LyEH5DNiGPi2r1jWmuO;10-1-2020 12:48:31;;-LyEGTlYBvUCrKeN2HrI;;;StationsFavoritesModal;btnFermer;;;;
-LyEHB_7R6H1kQo_a3ti;10-1-2020 12:48:57;;-LyEGTlYBvUCrKeN2HrI;;;PrevisionsPage;btnMenu;;;;
-LyEHD3ssM5C6ShyOToE;10-1-2020 12:49:3;;-LyEGTlYBvUCrKeN2HrI;;;StationsFavoritesModal;btnFermer;;;;
-LyEHDTbOKj7X6MoZoRI;10-1-2020 12:49:5;;-LyEGTlYBvUCrKeN2HrI;;;PrevisionsPage;btnMenu;;;;
-LyEHG505vpCoshbr7Bz;10-1-2020 12:49:16;-LyEGTnN8afBHFJk3vcF;-LyEGTlYBvUCrKeN2HrI;false;9;SettingsPage;btnAcheter;app.component>TutorielPage>PrevisionsPage>SettingsPage>RestaureAchetePage>SettingsPage>RestaureAchetePage>SettingsPage>StationsFavoritesModal>PrevisionsPage>StationsFavoritesModal>PrevisionsPage>StationsFavoritesModal>PrevisionsPage>SettingsPage;19;14;0
-LyEP_F_q1Rs5imfD9wf;10-1-2020 13:25:7;;-LyEP_F_q1Rs5imfD9wf;;;app.component;initApp;;;;
-LyEPbNaHWEEBtUngVL1;10-1-2020 13:25:16;;-LyEP_F_q1Rs5imfD9wf;;;TutorielPage;btnSuivant;;;;
-LyEPbVrvxDSFrktVs-G;10-1-2020 13:25:17;;-LyEP_F_q1Rs5imfD9wf;;;TutorielPage;btnSuivant;;;;
-LyEPcqEHwCrJlhDLbOJ;10-1-2020 13:25:22;;-LyEP_F_q1Rs5imfD9wf;;;TutorielPage;btnFinirTuto;;;;
-LyEPd32khJ8XUcjJog4;10-1-2020 13:25:23;;-LyEP_F_q1Rs5imfD9wf;;;TutorielPage;btnFinirTuto;;;;
